startDate,regionName,trafficCount
2018,Auckland,7869.100052426216
2018,Bay of Plenty,2888.0273934783277
2018,Canterbury,3240.1993288997596
2018,Gisborne,1061.3205895900508
2018,Hawkes Bay,2603.7595728737356
2018,Manawatu-Whanganui,2038.620675144941
2018,Nelson,2396.1194622215608
2018,Northland,1593.2545984425014
2018,Otago,2023.399864180763
2018,Southland,1526.1119897959184
2018,Taranaki,2397.7973555192393
2018,Waikato,2643.9513674197383
2018,Wellington,5876.576725354154
2018,West Coast,788.7164493612538
2019,Auckland,7826.338537231128
2019,Bay of Plenty,2942.182894567041
2019,Canterbury,3228.250431857857
2019,Gisborne,1428.718662262593
2019,Hawkes Bay,2597.5634553724553
2019,Manawatu-Whanganui,1988.0992667214912
2019,Nelson,2551.922916562013
2019,Northland,1668.893050954965
2019,Otago,2109.0905211412028
2019,Southland,1391.896579220158
2019,Taranaki,2461.514475347661
2019,Waikato,2585.215928405425
2019,Wellington,5842.151439055579
2019,West Coast,727.5373001115656
2020,Auckland,6924.070777687902
2020,Bay of Plenty,2694.931813847034
2020,Canterbury,2856.335302597483
2020,Gisborne,1415.5818757288023
2020,Hawkes Bay,2700.865221657301
2020,Manawatu-Whanganui,2057.7037168431393
2020,Nelson,2328.157836870366
2020,Northland,1589.2131878557875
2020,Otago,2039.2779219643066
2020,Southland,1154.3982519545655
2020,Taranaki,2664.7485155047284
2020,Waikato,2261.7498102706804
2020,Wellington,5198.949702867197
2020,West Coast,608.3678932503786
2021,Auckland,6804.516881510077
2021,Bay of Plenty,2685.3848401572336
2021,Canterbury,3059.702621985418
2021,Gisborne,1469.3817195595855
2021,Hawkes Bay,2791.9036932860463
2021,Manawatu-Whanganui,2085.0322081367926
2021,Nelson,2468.1260406342913
2021,Northland,1684.1612339930152
2021,Otago,2062.0922323925756
2021,Southland,1221.5605411499437
2021,Taranaki,2700.1161512380563
2021,Waikato,2203.707342638054
2021,Wellington,5483.789578891258
2021,West Coast,638.118241195879
2022,Auckland,7784.668576514207
2022,Bay of Plenty,2845.7752889357375
2022,Canterbury,3013.3958909393145
2022,Gisborne,1227.8379794200187
2022,Hawkes Bay,2711.395035282258
2022,Manawatu-Whanganui,2296.5155222370418
2022,Nelson,2502.050394640484
2022,Northland,1711.393502741147
2022,Otago,2080.948075099564
2022,Southland,1173.5382891736772
2022,Taranaki,2710.076840317101
2022,Waikato,2447.0466952727797
2022,Wellington,5139.022667266433
2022,West Coast,612.7129021295876
2023,Auckland,7053.445248754423
2023,Bay of Plenty,3384.699649481525
2023,Canterbury,3144.1277987613994
2023,Gisborne,1221.2514635444386
2023,Hawkes Bay,2859.4254354569316
2023,Manawatu-Whanganui,2214.1904733373276
2023,Nelson,2536.4369940349384
2023,Northland,1743.2014148737137
2023,Otago,2162.672373570864
2023,Southland,1272.1213784892182
2023,Taranaki,2632.2128861429833
2023,Waikato,2748.1968820719135
2023,Wellington,4992.949186478589
2023,West Coast,711.9108579088472
2018,Marlborough,2396.1194622215608
2019,Marlborough,2551.922916562013
2020,Marlborough,2328.157836870366
2021,Marlborough,2468.1260406342913
2022,Marlborough,2502.050394640484
2023,Marlborough,2536.4369940349384
2018,Tasman,2396.1194622215608
2019,Tasman,2551.922916562013
2020,Tasman,2328.157836870366
2021,Tasman,2468.1260406342913
2022,Tasman,2502.050394640484
2023,Tasman,2536.4369940349384
